Manufacture_SKU_UPC,Product_Type,Post_Status,image_logo,image_main,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_console,Commercial_Level,Category,Category_Sub,Category_Sub_Sub,Category_Sub_Sub_Sub,Manufacture,Product_Name,Pricing_Cost,Pricing_MSPR,Pricing_MAP,Pricing_Special,Pricing_Special_Start_Date,Pricing_Special_End_Date,Short_Description,Overveiw,Footprint_Length,x_1,Footprint_Width,x_2,Footprint_Height,Footprint_Active_Length,x_3,Footprint_Active_Width,x_4,Footprint_Active_Height,Footprint_UOM,Machine_Weight,Machine_Weight_UOM,Elliptical_Stride_Length_Adjustable_Stride_(Yes/No),Elliptical_Stride_Length_Min,Elliptical_Stride_Length_Max,Elliptical_Stride_Length_Adjusting_Increments,Elliptical_Stride_UOM,Elliptical_Stride_Length_Type_of_Adjusting,Elliptical_Ramp_Adjustable_(Yes/No),Elliptical_Ramp_Min_Angle,Elliptical_Ramp_Max_Angle,Elliptical_Ramp_Type_of_Adjustment,Elliptical_Ramp_#_of_Adjustments,Max_User_Weight,Max_User_Weight_,Plug-in,Elliptical_Drive_System,Resistance_Type,Resistance_Levels_Quantity,Heart_Rate_Contact,Heart_Rate_Monitoring_Wireless,Elliptical_Design_(Step_In/On)_,Elliptical_Hand_Grips_Muilti_Position,Warranty_Frame_In_Years,Warranty_Parts_In_Years,Warranty_Labor_In_Year,Warranty_Treadmill_Motor,Warranty_Restrictions,Console_Type,Console_Programs,Console_Programs_User,Console_Programs_Heart_Rate_Controled,Brochure,Manual,Treadmill_Belt_Width,Treadmill_Belt_Length,Treadmill_Belt_UOM,Treadmill_Belt_Type,Treadmill_Roller_Size,Treadmill_Roller_Size_UOM,Treadmill_Deck_Thickness,Treadmill_Deck_Phenolic_Coating,Treadmill_Deck_Need_Lubercation,Treadmill_Deck_Reversibility,Treadmill_Sidestep_Rails,Treadmill_Motor_Type,Treadmill_Motor_Horse_Power,Treadmill_Deck_Adjustable_Softness,Treadmill_Speed_Min,Treadmill_Speed_Max,Treadmill_Speed_Adjustment,Treadmill_Ramp_Incline,Treadmill_Ramp_Decline,Treadmill_Ramp_Min,Treadmill_Ramp_Max_,Treadmill_Ramp_Change_Amount,Recumbent_Bike_Design,Recumbent_Bike_Seat_Back_Adjustable,Recumbent_Bike_Seat_Back_Type,Recumbent_Bike_Seat_Back_#_of_Position,Rower_Seat_Travel,Rower_Pull_Cable,Spin_Bike_Handle_Bars_Mutiposition,Spin_Bike_Fly_Wheel_Weight,Spin_Bike_Fly_Wheel_Weight_UOM,Spin_Bike_Fly_Wheel_Primiter_Weighted,Spin_Bike_Belt_System,Gym_Weight_Stack,Gym_Weight_Stack_UOM,Shipping_Wieght,Shipping_Length,Shipping_Width,Shipping_Height,Up-Sells_SKU,Cross-Sells_SKU,Download_&_Import_Attachments,Post_Author,Post_Slug,Manage_Stock?,Stock_Qty,Stock_Status,Allow_Backorders?,Sold_Individually?,Enable_Reviews,Featured,Catalog_Visibility,Tax_Status,Tax_Class
AB TRAINER EVOLUTION,simple,draft,,,,,,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,AB TRAINER EVOLUTION,25,$45.00,$40.00,,,,,,,x,,x,,,x,,x,,in.,,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
PS500,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-ps500-new.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-ps-500.jpg,,,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,PS500,179,$299.00,$299.00,,,,,The PS500 is the base model for the Personal Series home market. The Ab Coaster PS500 puts you on the fast track to great abs! This machine works exactly the opposite from a traditional ab crunch machine. Rather than working your ab muscles from the top down the Ab Coaster PS500 works from the bottom up helping you target those hard-to-reach lower abs. Just kneel on the comfortable carriage and pull your knees up. It’s as simple as that! As you lift the knee carriage glides along the biometrically-designed curved track engaging your lower abs first then the middle and upper region giving you a complete abdominal workout from the bottom-up. The Ab Coaster keeps you in perfect form and makes it easy for anyone regardless of fitness level to exercise your entire abdominal region correctly and effectively every time without straining your neck or lower back. The Ab Coaster also features a multi-angle adjustable seat to help you work your love handles and plate-loading posts to add extra weights for advanced users. The Ab Coaster PS500 has all the same features and benefits as some of our commercial models but is slightly smaller for those who wish to conserve space.,51,x,25,x,50,51,x,25,x,50,in.,70,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
BLACK,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-black-new.jpg,,,,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,BLACK,239,$399.00,$399.00,,,,,The Ab Coaster Black is the top of the line Ab Coaster in the Personal Series for residential use. The Black Ab Coaster model features ultrasmooth Stainless Steel rails and includes an exercise mat and weights. The Black is only available in stores and gives your customers peace of mind with its LIFETIME warranty FEATURES!,51,x,25,x,50,51,x,25,x,50,in.,70,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
X3S BENCH ,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/12/x3s-bench-abs-workout.jpg,http://theabscompany.com/wp-content/uploads/2015/12/ab-workout-x3s-bench.jpg,http://theabscompany.com/wp-content/uploads/2015/12/x3s-bench-new.jpg,http://theabscompany.com/wp-content/uploads/2015/12/x3s-abs-bench.jpg,http://theabscompany.com/wp-content/uploads/2015/12/x3s-bench-the-abs-company-med-ball.jpg,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,X3S BENCH,199,$399.00,$379.00,,,,,For the first time a chair-bench combination has been created to provide a simple and effective exercise designed to deliver the most intense workout for abs legs and core. The X3S Bench is based on the best Cross Conditioning MMA fighter and pro boxer training requirements this simple machine delivers the best design for a complete abs legs and core workout. Incorporate dumbbells or medicine balls to increase the intensity and train your entire body. The X3S Bench is designed for portability easy storage and extreme sturdiness this hybrid full-body system provides maximum results in minimal space.,40,x,29,x,15,40,x,29,x,15,in.,56,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LUMBAR X,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/lumbar-x-product.jpg,http://theabscompany.com/wp-content/uploads/2015/08/lumbar-x-3.jpg,http://theabscompany.com/wp-content/uploads/2015/08/lumbar-x-5.jpg,http://theabscompany.com/wp-content/uploads/2015/08/lumbar-x-core-workout.jpg,http://theabscompany.com/wp-content/uploads/2015/08/lumbar-x-8.jpg,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,LUMBAR X,479,$899.00,$799.00,,,,,The Lumbar X is a 45-degree back extension bench is a versatile piece of equipment that is designed for development of the lower back glutes and hamstrings. Its comfortable padding and telescoping height make it the perfect complement for an entire core workout.,50,x,32,x,35,50,x,32,x,35,in.,75,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,yes,catalog/search,taxable,standard
CS1500,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-cs-1500-new.jpg,http://theabscompany.com/wp-content/uploads/2015/08/the-abs-company-ab-coaster-cs1500.jpg,,,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,CS1500,449,$899.00,$799.00,,,,,The newly re-designed Ab Coaster CS1500 is perfect for personal training studios hotels and other light commercial or at home use. The new features of the Ab Coaster CS1500 include smooth stainless steel rails adjustable hand grips and a free-style motion seat.,53,x,27,x,53,53,x,27,x,53,in.,90,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
TARGET ABS,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/target-abs-product-page.jpg,http://theabscompany.com/wp-content/uploads/2015/08/target-abs-3.jpg,http://theabscompany.com/wp-content/uploads/2015/08/target-abs-5.jpg,http://theabscompany.com/wp-content/uploads/2015/08/crunch-target-abs.jpg,http://theabscompany.com/wp-content/uploads/2015/08/taget-abs-side-crunch.jpg,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,TARGET ABS,449,$899.00,$899.00,,,,,TARGET ABS is an abdominal training bench that incorporates the Touch Target Technology popularized by the Ab Solo. Target Abs is a fixed angle bench that eliminates the guesswork from the user as to how to set up the bench for maximum results. Simply get on and perform a sit up motion touching the colored targets as you crunch forward and reach toward the top of the bench. Once you touch the target your rep is complete. Two complementary targets are positioned on either side of the main target allowing for effective oblique training as well. Increase the intensity of the workout by incorporating Medicine balls in to the routine.,69,x,32,x,43,69,x,32,x,43,in.,85,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
THE ABS BENCH ,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/abs-bench-final.jpg,http://theabscompany.com/wp-content/uploads/2015/08/abs-bench-51.jpg,http://theabscompany.com/wp-content/uploads/2015/08/abs-bench-61.jpg,http://theabscompany.com/wp-content/uploads/2015/08/abs-bench-7.jpg,http://theabscompany.com/wp-content/uploads/2015/08/abs-bench-8.jpg,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,THE ABS BENCH ,599,"$1,199.00",$999.00,,,,,The Abs Bench incorporates the same ergonomic design that has made The Abs Bench X2 so popular in clubs worldwide. The Abs Bench places the user in the proper position to perform a perfect ab crunch with every rep. Its stationary lower attachment saves space and makes this an economical alternative to the Double Crunch Abs Bench X2.,69,x,37,x,40,69,x,37,x,40,in.,139,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
CS3000,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-cs-3000-rev.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-cs-30001.jpg,http://theabscompany.com/wp-content/uploads/2015/08/core-workout-ab-coaster.jpg,http://theabscompany.com/wp-content/uploads/2015/08/cs-3000-3.jpg,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,CS3000,749,"$1,499.00","$1,199.00",,,,,The flagship product of the Ab Coaster Commercial Series product line features stainless steel rails for an ultra-smooth ride adjustable hand grips and a free-style motion seat – perfect for high-volume commercial fitness centers & athletic training facilities. Unlike traditional crunches the Ab Coaster works your abs from the “bottom up” while limiting stress to your neck back and shoulders. The Ab Coaster CS3000 combines the simplicity of the ab crunch with the effectiveness of the hanging leg raise. The curved track mimics natural spinal flexion allowing anyone to perform an abdominal lift in perfect form regardless of fitness level. The Ab Coaster CS3000 promotes core stabilization while exercising the abdominals through a full range of motion. The ergonomic carriage places you in a comfortable kneeling position isolating the abdominal region and virtually eliminating any hip flexor involvement.,61,x,33,x,58,61,x,33,x,58,in.,150,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
CTL,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-ctl-new.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-ctl-3.jpg,,http://theabscompany.com/wp-content/uploads/2015/08/oblique-workout-the-abs-company.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-coaster-ctl-4.jpg,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,CTL,749,"$1,499.00","$1,199.00",,,,,The unique design of the Ab Coaster CTL features the patented Ab Coaster bottom-up movement without rails. The trackless CTL design features a frictionless resistance system making the motion very easy for any user including deconditioned and rehab patients and makes for easy maintenance and super-quiet operation.,51,x,41,x,57,61,x,41,x,57,in.,130,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
